Grid Search Complete in 0.02s
Combinations Tested: 20

TOP 10 CONFIGURATIONS (Trailing vs Fixed):
    hour  minute  stop_pts  target_pts  trail_trig  trail_dist     pnl        pf
15    15       1      15.0       200.0         0.0         0.0  335.99  4.733222
19    15       1      15.0       200.0       100.0        50.0  335.99  4.733222
13    15       1      15.0       100.0        60.0        30.0  318.37  5.244933
18    15       1      15.0       200.0        60.0        30.0  313.74  5.183200
17    15       1      15.0       200.0        40.0        20.0  299.50  4.993333
12    15       1      15.0       100.0        40.0        20.0  295.50  4.940000
10    15       1      15.0       100.0         0.0         0.0  251.12  3.790222
14    15       1      15.0       100.0       100.0        50.0  251.12  3.790222
5     15       0      15.0       200.0         0.0         0.0  245.50  3.338095
9     15       0      15.0       200.0       100.0        50.0  245.50  3.338095
